RowId+30:30AA141:261:42AA141:261:54AA141:261:661:26,YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Response,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,Geolocation,ClassID,TopicID,QuestionID,ResponseID,LocationID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3,Report
BRFSS~2016~2016~16~Q17~TAC01~AGE~RACE,2016,2016,ID,Idaho,BRFSS,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,65 years or older,Race/Ethnicity,Hispanic,,,POINT (-114.3637300419997 43.682630005000476),C04,TAC01,Q17,,16,AGE,65PLUS,RACE,HIS,,,
BRFSS~2016~2016~25~Q27~TMC03~AGE~RACE,2016,2016,MA,Massachusetts,BRFSS,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,65 years or older,Race/Ethnicity,Asian/Pacific Islander,,,POINT (-72.08269067499964 42.27687047000046),C05,TMC03,Q27,,25,AGE,65PLUS,RACE,ASN,,,
BRFSS~2015~2015~66~Q27~TMC03~AGE~RACE,2015,2015,GU,Guam,BRFSS,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,65 years or older,Race/Ethnicity,Hispanic,,,POINT (144.793731 13.444304),C05,TMC03,Q27,,66,AGE,65PLUS,RACE,HIS,,,
BRFSS~2021~2021~04~Q02~TNC02~AGE~GENDER,2021,2021,AZ,Arizona,BRFSS,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,,%,PRCTG,Percentage,17.8,17.8,,,14.7,21.5,,Age Group,50-64 years,Gender,Female,,,POINT (-111.76381127699972 34.865970280000454),C02,TNC02,Q02,,4,AGE,5064,GENDER,FEMALE,,,
BRFSS~2020~2020~40~Q12~TSC01~AGE~RACE,2020,2020,OK,Oklahoma,BRFSS,Screenings and Vaccines,Mammogram within past 2 years,Percentage of older adult women who have received a mammogram within the past 2 years,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,65 years or older,Race/Ethnicity,Asian/Pacific Islander,,,POINT (-97.52107021399968 35.47203135600046),C03,TSC01,Q12,,40,AGE,65PLUS,RACE,ASN,,,
BRFSS~2015~2015~34~Q27~TMC03~AGE~RACE,2015,2015,NJ,New Jersey,BRFSS,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,,%,PRCTG,Percentage,19.8,19.8,,,14.5,26.4,,Age Group,50-64 years,Race/Ethnicity,Hispanic,,,POINT (-74.27369128799967 40.13057004800049),C05,TMC03,Q27,,34,AGE,5064,RACE,HIS,,,
BRFSS~2020~2020~41~Q16~TNC03~AGE~GENDER,2020,2020,OR,Oregon,BRFSS,Nutrition/Physical Activity/Obesity,No leisure-time physical activity within past month,Percentage of older adults who have not had any leisure time physical activity in the past month,,%,PRCTG,Percentage,23,23,,,20.4,25.9,,Age Group,Overall,Gender,Male,,,POINT (-120.15503132599969 44.56744942400047),C02,TNC03,Q16,,41,AGE,AGE_OVERALL,GENDER,MALE,,,
BRFSS~2020~2020~42~Q21~TAC03~AGE~GENDER,2020,2020,PA,Pennsylvania,BRFSS,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,,%,PRCTG,Percentage,11.2,11.2,,,8.5,14.5,,Age Group,50-64 years,Gender,Female,,,POINT (-77.86070029399963 40.79373015200048),C04,TAC03,Q21,,42,AGE,5064,GENDER,FEMALE,,,
BRFSS~2020~2020~29~Q21~TAC03~AGE~RACE,2020,2020,MO,Missouri,BRFSS,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,Overall,Race/Ethnicity,Asian/Pacific Islander,,,POINT (-92.56630005299968 38.635790776000476),C04,TAC03,Q21,,29,AGE,AGE_OVERALL,RACE,ASN,,,
BRFSS~2021~2021~32~Q46~TOC10~AGE~OVERALL,2021,2021,NV,Nevada,BRFSS,Overall Health,"Disability status, including sensory or mobility limitations","Percentage of older adults who report having a disability (includes limitations related to sensory or mobility impairments or a physical, mental, or emotional condition)",,%,PRCTG,Percentage,48.3,48.3,,,43.5,53.2,,Age Group,65 years or older,,,,,POINT (-117.07184056399967 39.493240390000494),C01,TOC10,Q46,,32,AGE,65PLUS,OVERALL,OVERALL,,,
BRFSS~2016~2021~10~Q36~TGC01~AGE~OVERALL,2016,2021,DE,Delaware,BRFSS,Caregiving,Provide care for a friend or family member in past month,Percentage of older adults who provided care for a friend or family member within the past month,,%,PRCTG,Percentage,21.9,21.9,,,19.5,24.4,,Age Group,Overall,,,,,POINT (-75.57774116799965 39.008830667000495),C07,TGC01,Q36,,10,AGE,AGE_OVERALL,OVERALL,OVERALL,,,
BRFSS~2021~2021~59~Q22~TSC07~AGE~GENDER,2021,2021,US,"United States, DC & Territories",BRFSS,Screenings and Vaccines,High blood pressure ever,Percentage of older adults who have ever been told by a health professional that they have high blood pressure,,%,PRCTG,Percentage,62.3,62.3,#,Fewer than 50 States reporting,61.4,63.2,,Age Group,65 years or older,Gender,Male,,,,C03,TSC07,Q22,,59,AGE,65PLUS,GENDER,MALE,,,
BRFSS~2016~2016~16~Q11~TSC11~AGE~RACE,2016,2016,ID,Idaho,BRFSS,Screenings and Vaccines,Up-to-date with recommended vaccines and screenings - Women,Percentage of older adult women who are up to date with select clinical preventive services,,%,PRCTG,Percentage,12.5,12.5,,,9.8,15.8,,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",,,POINT (-114.3637300419997 43.682630005000476),C03,TSC11,Q11,,16,AGE,5064,RACE,WHT,,,
BRFSS~2018~2018~28~Q15~TSC02~AGE~RACE,2018,2018,MS,Mississippi,BRFSS,Screenings and Vaccines,Colorectal cancer screening,Percentage of older adults who had either a home blood stool test within the past year or a sigmoidoscopy or colonoscopy within the past 10 years,,%,PRCTG,Percentage,71.3,71.3,,,65.5,76.5,,Age Group,65 years or older,Race/Ethnicity,"Black, non-Hispanic",,,POINT (-89.53803082499968 32.745510099000455),C03,TSC02,Q15,,28,AGE,65PLUS,RACE,BLK,,,
BRFSS~2017~2017~37~Q02~TNC02~AGE~OVERALL,2017,2017,NC,North Carolina,BRFSS,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,,%,PRCTG,Percentage,11.7,11.7,,,9.5,14.3,,Age Group,65 years or older,,,,,POINT (-79.15925046299964 35.466220975000454),C02,TNC02,Q02,,37,AGE,65PLUS,OVERALL,OVERALL,,,
BRFSS~2021~2021~47~Q16~TNC03~AGE~RACE,2021,2021,TN,Tennessee,BRFSS,Nutrition/Physical Activity/Obesity,No leisure-time physical activity within past month,Percentage of older adults who have not had any leisure time physical activity in the past month,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,50-64 years,Race/Ethnicity,Native Am/Alaskan Native,,,POINT (-85.77449091399967 35.68094058000048),C02,TNC03,Q16,,47,AGE,5064,RACE,NAA,,,
BRFSS~2019~2019~11~Q31~TCC02~AGE~RACE,2019,2019,DC,District of Columbia,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,50-64 years,Race/Ethnicity,"Black, non-Hispanic",,,POINT (-77.036871 38.907192),C06,TCC02,Q31,,11,AGE,5064,RACE,BLK,,,
BRFSS~2016~2021~9004~Q38~TGC03~AGE~RACE,2016,2021,WEST,West,BRFSS,Caregiving,Duration of caregiving among older adults,Percentage of older adults who provided care to a friend or family member for six months or more,,%,PRCTG,Percentage,80.2,80.2,&,Regional estimates may not represent all states in the region,52,93.8,,Age Group,50-64 years,Race/Ethnicity,Asian/Pacific Islander,,,,C07,TGC03,Q38,,9004,AGE,5064,RACE,ASN,,,
BRFSS~2021~2021~16~Q27~TMC03~AGE~RACE,2021,2021,ID,Idaho,BRFSS,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,,%,PRCTG,Percentage,17.6,17.6,,,10.2,28.5,,Age Group,50-64 years,Race/Ethnicity,Hispanic,,,POINT (-114.3637300419997 43.682630005000476),C05,TMC03,Q27,,16,AGE,5064,RACE,HIS,,,
BRFSS~2015~2015~66~Q03~TMC01~AGE~OVERALL,2015,2015,GU,Guam,BRFSS,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,,%,PRCTG,Percentage,8.5,8.5,,,6.1,11.7,,Age Group,Overall,,,,,POINT (144.793731 13.444304),C05,TMC01,Q03,,66,AGE,AGE_OVERALL,OVERALL,OVERALL,,,
BRFSS~2021~2021~49~Q16~TNC03~AGE~RACE,2021,2021,UT,Utah,BRFSS,Nutrition/Physical Activity/Obesity,No leisure-time physical activity within past month,Percentage of older adults who have not had any leisure time physical activity in the past month,,%,PRCTG,Percentage,17.3,17.3,,,15.4,19.4,,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",,,POINT (-111.58713063499971 39.360700171000474),C02,TNC03,Q16,,49,AGE,5064,RACE,WHT,,,
BRFSS~2019~2019~19~Q21~TAC03~AGE~GENDER,2019,2019,IA,Iowa,BRFSS,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,,%,PRCTG,Percentage,21.7,21.7,,,19.3,24.4,,Age Group,50-64 years,Gender,Male,,,POINT (-93.81649055599968 42.46940091300047),C04,TAC03,Q21,,19,AGE,5064,GENDER,MALE,,,
BRFSS~2016~2016~11~Q37~TGC02~AGE~RACE,2016,2016,DC,District of Columbia,BRFSS,Caregiving,Expect to provide care for someone in the next two years,Percentage of older adults currently not providing care who expect to provide care for someone with health problems in the next two years,,%,PRCTG,Percentage,11.9,11.9,,,8.1,17.1,,Age Group,65 years or older,Race/Ethnicity,"Black, non-Hispanic",,,POINT (-77.036871 38.907192),C07,TGC02,Q37,,11,AGE,65PLUS,RACE,BLK,,,
BRFSS~2018~2018~17~Q46~TOC10~AGE~RACE,2018,2018,IL,Illinois,BRFSS,Overall Health,"Disability status, including sensory or mobility limitations","Percentage of older adults who report having a disability (includes limitations related to sensory or mobility impairments or a physical, mental, or emotional condition)",,%,PRCTG,Percentage,44,44,,,37.2,51,,Age Group,Overall,Race/Ethnicity,"Black, non-Hispanic",,,POINT (-88.99771017799969 40.48501028300046),C01,TOC10,Q46,,17,AGE,AGE_OVERALL,RACE,BLK,,,
BRFSS~2021~2021~53~Q08~TOC01~AGE~RACE,2021,2021,WA,Washington,BRFSS,Overall Health,Physically unhealthy days (mean number of days),Physically unhealthy days (mean number of days in past month),,Number,MEAN,Mean,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,65 years or older,Race/Ethnicity,Asian/Pacific Islander,,,POINT (-120.47001078999972 47.52227862900048),C01,TOC01,Q08,,53,AGE,65PLUS,RACE,ASN,,,
BRFSS~2021~2021~15~Q31~TCC02~AGE~GENDER,2021,2021,HI,Hawaii,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,,%,PRCTG,Percentage,38.6,38.6,,,26.8,51.8,,Age Group,65 years or older,Gender,Male,,,POINT (-157.85774940299973 21.304850435000446),C06,TCC02,Q31,,15,AGE,65PLUS,GENDER,MALE,,,
BRFSS~2020~2020~19~Q11~TSC11~AGE~RACE,2020,2020,IA,Iowa,BRFSS,Screenings and Vaccines,Up-to-date with recommended vaccines and screenings - Women,Percentage of older adult women who are up to date with select clinical preventive services,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,65 years or older,Race/Ethnicity,Hispanic,,,POINT (-93.81649055599968 42.46940091300047),C03,TSC11,Q11,,19,AGE,65PLUS,RACE,HIS,,,
BRFSS~2017~2017~28~Q03~TMC01~AGE~GENDER,2017,2017,MS,Mississippi,BRFSS,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,,%,PRCTG,Percentage,9.3,9.3,,,6.5,13.1,,Age Group,65 years or older,Gender,Male,,,POINT (-89.53803082499968 32.745510099000455),C05,TMC01,Q03,,28,AGE,65PLUS,GENDER,MALE,,,
BRFSS~2020~2020~29~Q19~TSC04~AGE~RACE,2020,2020,MO,Missouri,BRFSS,Screenings and Vaccines,Diabetes screening within past 3 years,Percentage of older adults without diabetes who reported a blood sugar or diabetes test within 3 years,,%,PRCTG,Percentage,,,~,No Data Available,,,,Age Group,65 years or older,Race/Ethnicity,Asian/Pacific Islander,,,POINT (-92.56630005299968 38.635790776000476),C03,TSC04,Q19,,29,AGE,65PLUS,RACE,ASN,,,
BRFSS~2018~2018~34~Q46~TOC10~AGE~RACE,2018,2018,NJ,New Jersey,BRFSS,Overall Health,"Disability status, including sensory or mobility limitations","Percentage of older adults who report having a disability (includes limitations related to sensory or mobility impairments or a physical, mental, or emotional condition)",,%,PRCTG,Percentage,20.7,20.7,,,16.1,26,,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",,,POINT (-74.27369128799967 40.13057004800049),C01,TOC10,Q46,,34,AGE,5064,RACE,WHT,,,
BRFSS~2021~2021~46~Q03~TMC01~AGE~RACE,2021,2021,SD,South Dakota,BRFSS,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,65 years or older,Race/Ethnicity,"Black, non-Hispanic",,,POINT (-100.3735306369997 44.353130053000484),C05,TMC01,Q03,,46,AGE,65PLUS,RACE,BLK,,,
BRFSS~2021~2021~18~Q35~TOC03~AGE~OVERALL,2021,2021,IN,Indiana,BRFSS,Overall Health,Recent activity limitations in past month,Mean number of days with activity limitations in the past month,,Number,MEAN,Mean,5.9,5.9,,,5.5,6.3,,Age Group,Overall,,,,,POINT (-86.14996019399968 39.766910452000445),C01,TOC03,Q35,,18,AGE,AGE_OVERALL,OVERALL,OVERALL,,,
BRFSS~2016~2016~28~Q18~TSC08~AGE~RACE,2016,2016,MS,Mississippi,BRFSS,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,,%,PRCTG,Percentage,66.9,66.9,,,63.4,70.2,,Age Group,65 years or older,Race/Ethnicity,"White, non-Hispanic",,,POINT (-89.53803082499968 32.745510099000455),C03,TSC08,Q18,,28,AGE,65PLUS,RACE,WHT,,,
BRFSS~2017~2017~9002~Q21~TAC03~AGE~RACE,2017,2017,MDW,Midwest,BRFSS,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,,%,PRCTG,Percentage,9.9,9.9,&,Regional estimates may not represent all states in the region,6.7,14.2,,Age Group,Overall,Race/Ethnicity,Native Am/Alaskan Native,,,,C04,TAC03,Q21,,9002,AGE,AGE_OVERALL,RACE,NAA,,,
BRFSS~2016~2021~09~Q40~TGC05~AGE~OVERALL,2016,2021,CT,Connecticut,BRFSS,Caregiving,Provide care for someone with cognitive impairment within the past month,Percentage of older adults who provided care for someone with dementia or other cognitive impairment within the past month,,%,PRCTG,Percentage,29.7,29.7,**,Estimate is not comparable to those generated using data from years prior to 2019 due to survey question changes,26,33.7,,Age Group,Overall,,,,,POINT (-72.64984095199964 41.56266102000046),C07,TGC05,Q40,,9,AGE,AGE_OVERALL,OVERALL,OVERALL,,,
BRFSS~2020~2020~9001~Q30~TCC01~AGE~GENDER,2020,2020,NRE,Northeast,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,,%,PRCTG,Percentage,8.7,8.7,&,Regional estimates may not represent all states in the region,6.9,11.1,,Age Group,Overall,Gender,Male,,,,C06,TCC01,Q30,,9001,AGE,AGE_OVERALL,GENDER,MALE,,,
BRFSS~2020~2020~25~Q07~TOC05~AGE~RACE,2020,2020,MA,Massachusetts,BRFSS,Overall Health,Oral health:  tooth retention,Percentage of older adults who report having lost 5 or fewer teeth due to decay or gum disease,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,65 years or older,Race/Ethnicity,Asian/Pacific Islander,,,POINT (-72.08269067499964 42.27687047000046),C01,TOC05,Q07,,25,AGE,65PLUS,RACE,ASN,,,
BRFSS~2015~2015~23~Q13~TNC04~AGE~RACE,2015,2015,ME,Maine,BRFSS,Nutrition/Physical Activity/Obesity,Obesity,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",,%,PRCTG,Percentage,31.8,31.8,,,30.2,33.5,,Age Group,Overall,Race/Ethnicity,"White, non-Hispanic",,,POINT (-68.98503133599962 45.254228894000505),C02,TNC04,Q13,,23,AGE,AGE_OVERALL,RACE,WHT,,,
BRFSS~2020~2020~13~Q19~TSC04~AGE~RACE,2020,2020,GA,Georgia,BRFSS,Screenings and Vaccines,Diabetes screening within past 3 years,Percentage of older adults without diabetes who reported a blood sugar or diabetes test within 3 years,,%,PRCTG,Percentage,68.7,68.7,,,61.8,74.9,,Age Group,50-64 years,Race/Ethnicity,"Black, non-Hispanic",,,POINT (-83.62758034599966 32.83968109300048),C03,TSC04,Q19,,13,AGE,5064,RACE,BLK,,,
BRFSS~2017~2017~05~Q17~TAC01~AGE~RACE,2017,2017,AR,Arkansas,BRFSS,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,65 years or older,Race/Ethnicity,Hispanic,,,POINT (-92.27449074299966 34.74865012400045),C04,TAC01,Q17,,5,AGE,65PLUS,RACE,HIS,,,
BRFSS~2018~2018~13~Q08~TOC01~AGE~RACE,2018,2018,GA,Georgia,BRFSS,Overall Health,Physically unhealthy days (mean number of days),Physically unhealthy days (mean number of days in past month),,Number,MEAN,Mean,5.2,5.2,,,3,7.3,,Age Group,50-64 years,Race/Ethnicity,Hispanic,,,POINT (-83.62758034599966 32.83968109300048),C01,TOC01,Q08,,13,AGE,5064,RACE,HIS,,,
BRFSS~2016~2021~21~Q31~TCC02~AGE~RACE,2016,2021,KY,Kentucky,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,,%,PRCTG,Percentage,42.2,42.2,,,31,54.2,,Age Group,65 years or older,Race/Ethnicity,"White, non-Hispanic",,,POINT (-84.77497104799966 37.645970271000465),C06,TCC02,Q31,,21,AGE,65PLUS,RACE,WHT,,,
BRFSS~2021~2021~78~Q02~TNC02~AGE~RACE,2021,2021,VI,Virgin Islands,BRFSS,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,Overall,Race/Ethnicity,Hispanic,,,POINT (-64.896335 18.335765),C02,TNC02,Q02,,78,AGE,AGE_OVERALL,RACE,HIS,,,
BRFSS~2020~2020~04~Q31~TCC02~AGE~RACE,2020,2020,AZ,Arizona,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,,%,PRCTG,Percentage,51.9,51.9,,,38.9,64.7,,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",,,POINT (-111.76381127699972 34.865970280000454),C06,TCC02,Q31,,4,AGE,5064,RACE,WHT,,,
BRFSS~2018~2018~31~Q10~TSC10~AGE~RACE,2018,2018,NE,Nebraska,BRFSS,Screenings and Vaccines,Up-to-date with recommended vaccines and screenings - Men,Percentage of older adult men who are up to date with select clinical preventive services,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,65 years or older,Race/Ethnicity,"Black, non-Hispanic",,,POINT (-99.36572062299967 41.6410409880005),C03,TSC10,Q10,,31,AGE,65PLUS,RACE,BLK,,,
BRFSS~2018~2018~31~Q21~TAC03~AGE~OVERALL,2018,2018,NE,Nebraska,BRFSS,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,,%,PRCTG,Percentage,12.2,12.2,,,11.2,13.3,,Age Group,Overall,,,,,POINT (-99.36572062299967 41.6410409880005),C04,TAC03,Q21,,31,AGE,AGE_OVERALL,OVERALL,OVERALL,,,
BRFSS~2019~2019~15~Q46~TOC10~AGE~GENDER,2019,2019,HI,Hawaii,BRFSS,Overall Health,"Disability status, including sensory or mobility limitations","Percentage of older adults who report having a disability (includes limitations related to sensory or mobility impairments or a physical, mental, or emotional condition)",,%,PRCTG,Percentage,32.8,32.8,,,30.3,35.4,,Age Group,Overall,Gender,Male,,,POINT (-157.85774940299973 21.304850435000446),C01,TOC10,Q46,,15,AGE,AGE_OVERALL,GENDER,MALE,,,
BRFSS~2016~2021~23~Q36~TGC01~AGE~RACE,2016,2021,ME,Maine,BRFSS,Caregiving,Provide care for a friend or family member in past month,Percentage of older adults who provided care for a friend or family member within the past month,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,50-64 years,Race/Ethnicity,"Black, non-Hispanic",,,POINT (-68.98503133599962 45.254228894000505),C07,TGC01,Q36,,23,AGE,5064,RACE,BLK,,,
BRFSS~2021~2021~35~Q14~TSC06~AGE~RACE,2021,2021,NM,New Mexico,BRFSS,Screenings and Vaccines,Cholesterol checked in past 5 years,Percentage of older adults who had a cholesterol screening within the past 5 years,,%,PRCTG,Percentage,89.4,89.4,,,83.6,93.3,,Age Group,Overall,Race/Ethnicity,Native Am/Alaskan Native,,,POINT (-106.24058098499967 34.52088095200048),C03,TSC06,Q14,,35,AGE,AGE_OVERALL,RACE,NAA,,,
BRFSS~2021~2021~51~Q21~TAC03~AGE~GENDER,2021,2021,VA,Virginia,BRFSS,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,,%,PRCTG,Percentage,10.5,10.5,,,9,12.2,,Age Group,Overall,Gender,Male,,,POINT (-78.45789046299967 37.54268067400045),C04,TAC03,Q21,,51,AGE,AGE_OVERALL,GENDER,MALE,,,
BRFSS~2017~2017~12~Q08~TOC01~AGE~RACE,2017,2017,FL,Florida,BRFSS,Overall Health,Physically unhealthy days (mean number of days),Physically unhealthy days (mean number of days in past month),,Number,MEAN,Mean,6.3,6.3,,,5.6,7,,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",,,POINT (-81.92896053899966 28.932040377000476),C01,TOC01,Q08,,12,AGE,5064,RACE,WHT,,,
BRFSS~2019~2019~11~Q16~TNC03~AGE~OVERALL,2019,2019,DC,District of Columbia,BRFSS,Nutrition/Physical Activity/Obesity,No leisure-time physical activity within past month,Percentage of older adults who have not had any leisure time physical activity in the past month,,%,PRCTG,Percentage,21.3,21.3,,,17.4,25.7,,Age Group,50-64 years,,,,,POINT (-77.036871 38.907192),C02,TNC03,Q16,,11,AGE,5064,OVERALL,OVERALL,,,
BRFSS~2021~2021~9001~Q43~TOC11~AGE~GENDER,2021,2021,NRE,Northeast,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,46.7,46.7,,,45.6,47.8,,Age Group,Overall,Gender,Female,,,,C01,TOC11,Q43,,9001,AGE,AGE_OVERALL,GENDER,FEMALE,,,
BRFSS~2018~2018~11~Q05~TOC06~AGE~OVERALL,2018,2018,DC,District of Columbia,BRFSS,Overall Health,Fall with injury within last year,Percentage of older adults who have fallen and sustained an injury within last year,,%,PRCTG,Percentage,11.5,11.5,,,9.5,13.8,,Age Group,50-64 years,,,,,POINT (-77.036871 38.907192),C01,TOC06,Q05,,11,AGE,5064,OVERALL,OVERALL,,,
BRFSS~2021~2021~9003~Q21~TAC03~AGE~OVERALL,2021,2021,SOU,South,BRFSS,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,,%,PRCTG,Percentage,11.9,11.9,&,Regional estimates may not represent all states in the region,11.1,12.7,,Age Group,50-64 years,,,,,,C04,TAC03,Q21,,9003,AGE,5064,OVERALL,OVERALL,,,
BRFSS~2020~2020~33~Q15~TSC02~AGE~GENDER,2020,2020,NH,New Hampshire,BRFSS,Screenings and Vaccines,Colorectal cancer screening,Percentage of older adults who had either a home blood stool test within the past year or a sigmoidoscopy or colonoscopy within the past 10 years,,%,PRCTG,Percentage,78.4,78.4,,,75.5,81.1,,Age Group,Overall,Gender,Male,,,POINT (-71.50036091999965 43.65595011300047),C03,TSC02,Q15,,33,AGE,AGE_OVERALL,GENDER,MALE,,,
BRFSS~2016~2016~12~Q19~TSC04~AGE~RACE,2016,2016,FL,Florida,BRFSS,Screenings and Vaccines,Diabetes screening within past 3 years,Percentage of older adults without diabetes who reported a blood sugar or diabetes test within 3 years,,%,PRCTG,Percentage,72.9,72.9,,,60.7,82.4,,Age Group,Overall,Race/Ethnicity,Native Am/Alaskan Native,,,POINT (-81.92896053899966 28.932040377000476),C03,TSC04,Q19,,12,AGE,AGE_OVERALL,RACE,NAA,,,
BRFSS~2016~2016~04~Q33~TOC08~AGE~GENDER,2016,2016,AZ,Arizona,BRFSS,Overall Health,Self-rated health (good to excellent health),"Percentage of older adults who self-reported that their health is ""good"", ""very good"", or ""excellent""",,%,PRCTG,Percentage,72.4,72.4,,,69.1,75.5,,Age Group,50-64 years,Gender,Female,,,POINT (-111.76381127699972 34.865970280000454),C01,TOC08,Q33,,4,AGE,5064,GENDER,FEMALE,,,
BRFSS~2015~2015~27~Q30~TCC01~AGE~RACE,2015,2015,MN,Minnesota,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,,%,PRCTG,Percentage,14,14,,,8,23.4,,Age Group,50-64 years,Race/Ethnicity,"Black, non-Hispanic",,,POINT (-94.79420050299967 46.35564873600049),C06,TCC01,Q30,,27,AGE,5064,RACE,BLK,,,
